RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type
"9041985","","Alkaloid","","","Liquid Anatomy","2018","3","n","",""
"15321734","","Alkaloid","","","Numen","2023","5","n","",""
"6260776","","Alkaloid","","","The Malkuth Grimoire","2015","5","n","",""
"15525415","","Alkhemia","","","Abraxas","2024","6","n","",""
"9967381","","Allegaeon","","","Apoptosis","2019","6","n","",""
"12349217","","Allegaeon","","","Concerto in Dm","2020","7","n","",""
"13874281","","Allegaeon","","","Damnum","2022","9","n","",""
"5479830","","Allegaeon","","","Elements of the Infinite","2014","5","n","",""
"15510616","","Allegaeon","","","Inhumation","2023","6","n","",""
"7603042","","Allegaeon","","","Proponent for Sentience","2016","5","n","",""
"16315218","","Allegaeon","","","The Ossuary Lens","2025","7","n","",""
"16018138","","Alleviate","","","DMNS","2024","5","n","",""
"10574408","","All Human","","","Call Me Braxton Paltrow","2019","8","n","",""
"4461614","","All Human","","","Catholic Guilt or the Queerest of Thoughts","2012","7","n","",""
"7249813","","All Human","","","Teenagers, You Don't Have to Die!","2016","10","n","",""
"15197357","","Allochiria","","","Commotion","2023","5","n","",""
"1643563","","All Shall Perish","","","Awaken the Dreamers","2008","7","n","",""
"580502","","All Shall Perish","","","The Price of Existence","2006","6","n","",""
"3450889","","All Shall Perish","","","This Is Where It Ends","2011","6","n","",""
"15971068","","Allt","","","From the New World","2024","6","n","",""
"14731478","","Allt","","","The Seed of Self-Destruction","2022","6","n","",""
"16194296","","All That Remains","","","Antifragile","2025","1","n","",""
"16142133","","All That Remains","","","Forever Cold","2024","6","n","",""
"16002472","","All That Remains","","","No Tomorrow","2024","2","n","",""
"1574921","","All That Remains","","","Overcome","2008","6","n","",""
"561684","","All That Remains","","","The Fall of Ideals","2006","7","n","",""
"163605","","All That Remains","","","This Darkened Heart","2004","6","n","",""
"9619880","","All That Remains","","","Victim of the New Disease","2018","4","n","",""
"10243777","","All Things Fallen","","","All Things Fallen","2019","5","n","",""
"14615379","","All Things Fallen","","","Shadow Way","2022","3","n","",""
"7972665","","Alluvial","","","The Deep Longing for Annihilation","2017","6","n","",""
"15749970","","ALMO","","","Reconciliation","2024","7","n","",""
"6474902","Jarrod","Alonge","","","Beating a Dead Horse","2015","8","n","",""
"5710938","","Alpha Male Tea Party","","","AMTP","2012","7","n","",""
"5549709","","Alpha Male Tea Party","","","Droids","2014","6","n","",""
"12346174","","Alpha Male Tea Party","","","Infinity Stare","2020","4","n","",""
"4949879","","Alpha Male Tea Party","","","Real Ale and Model Rail: The Lonely Man's Guide to Not Committing Suicide","2013","7","n","",""
"15629954","","Alpha Wolf","","","Half Living Things","2024","6","n","",""
"8761516","","Alterbeast","","","Feast","2018","6","n","",""
"5261742","","Alterbeast","","","Immortal","2014","7","n","",""
"16055856","","Altered Animal","","","Copycat","2024","4","n","",""
"15253237","","Altered Animal","","","Everything","2023","5","n","",""
"15962168","","Aluk Todolo","","","Lux","2024","5","n","",""
"10872444","","Alyona Alyona","","","В хаті МА","2019","7","n","",""
"10166066","","Alyona Alyona","","","Пушка","2019","5","n","",""
"15788580","","Amalie Dahl's Dafnie","","","Står op med solen","2024","5","n","",""
"3344607","","Amaranthe","","","Amaranthe","2011","6","n","",""
"3364808","","Amaranthe","","","Hunger","2011","7","n","",""
"15777609","","Amarok","","","Hope","2024","5","n","",""
"1969579","","Amatory","","","VII","2008","6","n","",""
"3172608","","Amatory","","","Инстинкт обреченных","2010","6","n","",""
"887530","","Amatory","","","Книга мёртвых","2006","7","n","",""
"887528","","Amatory","","","Неизбежность","2004","6","n","",""
"15263823","","A.M.E.N.","","","The Book of Lies – Liber I","2023","6","n","",""
"11548489","","American Slang","","","Death Drive","2020","6","n","",""
"15678190","","Amiensus","","","Reclamation: Part 1","2024","7","n","",""
"15920039","","Amiensus","","","Reclamation, Pt. II","2024","4","n","",""
"15169690","","Amoeba Split","","","Quiet Euphoria","2023","6","n","",""
"15692674","","Among the Lights","","","Sphere of Solitude","2024","4","n","",""
"13913717","","Amorphis","","","Halo","2022","8","n","",""
"9022132","","Amorphis","","","Queen of Time","2018","7","n","",""
"8796541","","김심야 &amp; D. Sanders","","Kim Ximya &amp; D. Sanders","Moonshine","2017","5","n","",""
"15637699","Tytus","&amp; The Left-Handers","","","Middle Hand","2024","5","n","",""
"15696561","","Amskray","","","Die Happy","2024","7","n","",""
"15292762","","Amun","","","Spectra and Obsession","2023","8","n","",""
"11596636","","Anaal Nathrakh","","","Endarkenment","2020","7","n","",""
"15023169","","Anachronism","","","Meanders","2023","5","n","",""
"5369648","","Anathema","","","Distant Satellites","2014","6","n","",""
"15657919","","Anchor and Burden","","","Extinction Level","2024","2","n","",""
"15219738","The","Anchoret","","","It All Began With Loneliness","2023","8","n","",""
"15437906","","*Ancients","","","Cosmic Ark","2023","4","n","",""
"15868802","","Anciients","","","Beyond the Reach of the Sun","2024","7","n","",""
"4393591","","Anciients","","","Heart of Oak","2013","7","n","",""
"7573286","","Anciients","","","Voice of the Void","2016","7","n","",""
"11136475","","...And Oceans","","","The Dissolution of Mind and Matter","2020","6","n","",""
"11707748","","Android Superstation","","","This Side of Nowhere","2020","6","n","",""
"12904051","","Andromida","","","Hellscape","2021","7","n","",""
"14567771","","Andromida","","","Wrath of the Vanguard","2022","7","n","",""
"4318659","","And So I Watch You From Afar","","","All Hail Bright Futures","2013","6","n","",""
"3359413","","And So I Watch You From Afar","","","Gangs","2011","8","n","",""
"6176200","","And So I Watch You From Afar","","","HEIRS","2015","5","n","",""
"14094334","","And So I Watch You From Afar","","","Jettison","2022","6","n","",""
"15860169","","And So I Watch You From Afar","","","Megafauna","2024","6","n","",""
"8523594","","And So I Watch You From Afar","","","The Endless Shimmering","2017","7","n","",""
"15329181","","Angelic Desolation","","","Orchestrionic Abortion","2023","6","n","",""
"8963781","Seth","Angerer","","","Shinka 進化: A Progressive Symphony","2018","7","n","",""
"15908314","","Angine de Poitrine","","","Angine de Poitrine Vol. 1","2024","6","n","",""
"15347318","","Angra","","","Cycles of Pain","2023","7","n","",""
"2141056","","Animals as Leaders","","","Animals as Leaders","2009","7","n","",""
"14398969","","Animals as Leaders","","","Gordian Naught","2022","8","n","",""
"13581307","","Animals as Leaders","","","Monomyth","2021","7","n","",""
"13981376","","Animals as Leaders","","","Parrhesia","2022","7","n","",""
"5250283","","Animals as Leaders","","","The Joy of Motion","2014","6","n","",""
"7701657","","Animals as Leaders","","","The Madness of Many","2016","5","n","",""
"13981467","","Animals as Leaders","","","The Problem of Other Minds","2021","5","n","",""
"3624370","","Animals as Leaders","","","Weightless","2011","6","n","",""
"14938953","","Anima Morte","","","Serpents in the Fields of Sleep","2022","7","n","",""
"15645689","","Animårum","","","Machina","2024","5","n","",""
"15331258","","Anima Tempo","","","Chaos Paradox","2023","7","n","",""
"15874380","","Annalynn","","","Failure Will Find Me","2024","5","n","",""
"16106346","","Annihilist","","","Reform","2024","7","n","",""
"14728087","","Anomalie","","","Galerie","2022","5","n","",""
"8888950","The","Antarctica Project","","","Transmute","2018","5","n","",""
"9893747","The","Antarctica Project","","","Transmute (Instrumental)","2019","6","n","",""
"9202188","The","Antichrist Imperium","","","Volume II: Every Tongue Shall Praise Satan","2018","7","n","",""
"15357406","","Anti-God Hand","","","Blight Year","2023","4","n","",""
"2274331","","Antigua y Barbuda","","","Try Future","2009","7","n","",""
"16118560","","Antipope","","","Doors of the Dead","2024","4","n","",""
"14955260","","Antipope","","","Rex Mundi","2022","3","n","",""
"15286956","","Antitheist","","","Omnicide","2023","2","n","",""
"16328442","","ANTLERS","","","HYPOTHERMIA","2025","2","n","",""
"15929465","","Anubis","","","The Unforgivable","2024","6","n","",""
"4585315","","Anubis Gate","","","Horizons","2014","6","n","",""
"15225342","","Anubis Gate","","","Interference","2023","6","n","",""
"15556294","","Any Given Day","","","Limitless","2024","4","n","",""
"9842080","","Any Given Day","","","Overpower","2019","4","n","",""
"15219581","","Aodon","","","Portraits","2023","7","n","",""
"15585088","","A/Oratos","","","Ecclesia gnostica","2024","6","n","",""
"15265170","","a.P.A.t.T.","","","We","2023","6","n","",""
"15759033","","APES","","","Penitence","2024","6","n","",""
"15542283","","Aphantasia","","","The Canvas of the Mind","2023","6","n","",""
"15545467","","Apogean","","","Cyberstrictive","2024","6","n","",""
"15771666","","Apólimos","","","Desde el balcón","2024","7","n","",""
"15719104","","Apollo Suns","","","Departures","2023","6","n","",""
"15663193","","Apparition","","","Disgraced Emanations From a Tranquil State","2024","5","n","",""
"12011016","","Apple Sauce","","","Apple Sauce","2020","7","n","",""
"16027079","","Aquae Furtivae","","","A Maze Pt.3","2024","8","n","",""
"14642205","","Aquae Furtivae","","","Road to Square One","2022","8","n","",""
"15702623","","Aquilus","","","Bellum II","2024","8","n","",""
"15487752","","Arborescence of Wrath","","","Inferno","2023","6","n","",""
"5966621","","Arcane","","","Known - Learned","2015","8","n","",""
"6560034","The","Arcane Order","","","Cult of None","2015","7","n","",""
"15096174","The","Arcane Order","","","Distortions From Cosmogony","2023","6","n","",""
"15774417","","Arcem","","","Arrival at Grief","2024","4","n","",""
"15251982","","Arch Echo","","","Aluminosity","2023","6","n","",""
"14966871","","Arch Echo","","","Battlestar Nostalgica","2022","7","n","",""
"15305972","","Arch Echo","","","Final Pitch","2023","7","n","",""
"15310377","","Arch Echo","","","Final Pitch","2023","6","n","",""
"14751057","","Arch Echo","","","Red Letter","2022","8","n","",""
"12003227","","Arch Echo","","","Story I","2020","8","n","",""
"10118188","","Arch Echo","","","You Won't Believe What Happens Next!","2019","6","n","",""
"7221734","","Architects","","","All Our Gods Have Abandoned Us","2016","5","n","",""
"3893647","","Architects","","","Daybreaker","2012","5","n","",""
"12555613","","Architects","","","Dead Butterflies","2021","3","n","",""
"12159618","","Architects","","","For Those That Wish to Exist","2021","3","n","",""
"14290348","","Architects","","","For Those That Wish to Exist at Abbey Road","2022","7","n","",""
"9557625","","Architects","","","Hereafter","2018","6","n","",""
"1927118","","Architects","","","Hollow Crown","2009","6","n","",""
"9557542","","Architects","","","Holy Hell","2018","7","n","",""
"5144482","","Architects","","","Lost Forever // Lost Together","2014","4","n","",""
"14825142","","Architects","","","The Classic Symptoms of a Broken Spirit","2022","5","n","",""
"3074916","","Architects","","","The Here and Now","2011","7","n","",""
"16162572","","Architects","","","The Sky, the Earth &amp; All Between","2025","6","n","",""
"10131528","","Arch / Matheos","","","Winter Ethereal","2019","7","n","",""
"13458379","","Archspire","","","Bleed the Future","2021","7","n","",""
"13583451","","Archspire","","","Bleed the Future","2021","6","n","",""
"13764746","","Archspire","","","Drone Corpse Aviator","2021","7","n","",""
"13458388","","Archspire","","","Golden Mouth of Ruin","2021","5","n","",""
"8408105","","Archspire","","","Relentless Mutation","2017","7","n","",""
"8125","","Arcturus","","","The Sham Mirrors","2002","4","n","",""
"15319578","","Ardra","","","Nausea","2023","7","n","",""
"15772590","","Argile","","","Spleen Angel","2024","6","n","",""
"15083692","","Arhios","","","Miscible","2023","7","n","",""
"4432176","The","Aristocrats","","","Culture Clash","2013","7","n","",""
"6077036","The","Aristocrats","","","Culture Clash Live","2015","7","n","",""
"15588146","The","Aristocrats","","","DUCK","2024","7","n","",""
"6077053","The","Aristocrats","","","Secret Show: Live in Osaka","2015","7","n","",""
"15083005","Adarsh","Arjun","","","Aches And Echoes","2023","6","n","",""
"14187758","","Arkaik","","","Labyrinth of Hungry Ghosts","2022","7","n","",""
"15247981","","Arkitekture","","","Rationalis Impetus","2022","7","n","",""
"14770721","","Aronious","","","Irkalla","2022","4","n","",""
"15796119","","Aro Ora","","","The Twelfth Hour","2024","5","n","",""
"11446767","","Arrebol","","","El que rehúye las esencias","2020","3","n","",""
"15159515","","Arrival of Autumn","","","Kingdom Undone","2023","4","n","",""
"15872780","","Arroganz","","","Quintessenz","2024","2","n","",""
"9543530","","Arsis","","","Visitant","2018","7","n","",""
"984511","","Arsis","","","We Are the Nightmare","2008","6","n","",""
"4017226","","Art by Numbers","","","Reticence: The Musical","2012","8","n","",""
"15703884","","Artgore","","","Hate as a Reason","2024","5","n","",""
"15692424","","Artificial Language","","","Distant Glow","2024","7","n","",""
"10103844","","Artificial Language","","","Now We Sleep","2019","6","n","",""
"15680760","","Artificial Language","","","Skinwalker","2024","7","n","",""
"8226480","","Artificial Language","","","The Observer","2017","7","n","",""
"15937468","","Art of Attrition","","","...And It Will All End Forever","2024","6","n","",""
"14927469","","Art of Attrition","","","The Void Eternal","2022","6","n","",""
"16082154","","Asarhaddon","","","Êra","2024","5","n","",""
"11529366","","Aseitas","","","False Peace","2020","7","n","",""
"15645626","","Aseitas","","","Libertine Captor","2024","7","n","",""
"15390108","","ASET","","","Astral Rape","2023","7","n","",""
"15904211","","AsFireFalls","","","Catatonic Misery","2024","4","n","",""
"15916696","Sean","Ashe","","","Spark Under Water","2024","7","n","",""
"14755149","","Ashenspire","","","Hostile Architecture","2022","9","n","",""
"891803","","As I Lay Dying","","","An Ocean Between Us","2007","7","n","",""
"4058745","","As I Lay Dying","","","Awakened","2012","6","n","",""
"10643117","","As I Lay Dying","","","Blinded","2019","5","n","",""
"15869835","","As I Lay Dying","","","Burden","2024","6","n","",""
"3653154","","As I Lay Dying","","","Decas","2011","5","n","",""
"11320070","","As I Lay Dying","","","Destruction or Strength","2020","6","n","",""
"147953","","As I Lay Dying","","","Frail Words Collapse","2003","6","n","",""
"9314743","","As I Lay Dying","","","My Own Grave","2018","8","n","",""
"10178631","","As I Lay Dying","","","Redefined","2019","5","n","",""
"13708723","","As I Lay Dying","","","Roots Below","2021","5","n","",""
"311225","","As I Lay Dying","","","Shadows Are Security","2005","7","n","",""
"10471214","","As I Lay Dying","","","Shaped by Fire","2019","7","n","",""
"10541536","","As I Lay Dying","","","Shaped by Fire","2019","7","n","",""
"15945753","","As I Lay Dying","","","The Cave We Fear to Enter","2024","5","n","",""
"2731011","","As I Lay Dying","","","The Powerless Rise","2010","6","n","",""
"16045670","","As I Lay Dying","","","Through Storms Ahead","2024","5","n","",""
"16045697","","As I Lay Dying","","","We Are the Dead","2024","2","n","",""
"3337880","","Asking Alexandria","","","Reckless and Relentless","2011","7","n","",""
"2488587","","Asking Alexandria","","","Stand Up and Scream","2009","6","n","",""
"15350399","","Asking Alexandria","","","Where Do We Go From Here?","2023","6","n","",""
"15699517","","Ask My Bull","","","F-Them","2024","7","n","",""
"15273946","","Astral Tomb","","","Total Spiritual Death","2023","7","n","",""
"9774006","","Astronoid","","","Astronoid","2019","4","n","",""
"15252167","","Asymmetric Universe","","","The Sun Would Disappear as I Imagined All the Stars","2023","8","n","",""
"15089541","","Atavistia","","","Cosmic Warfare","2023","6","n","",""
"15850854","","Atavistia","","","Inane Ducam (I Will Lead Into Nothingness)","2024","6","n","",""
"11069623","","Atena","","","Drowning Regret &amp; Lungs Filled With Water","2020","3","n","",""
"15477205","","Atena","","","Subway Anthem","2023","4","n","",""
"15722691","","Ater","","","Somber","2024","3","n","",""
"16255461","","À Terre","","","Embrasser la nuit","2025","5","n","",""
"13794481","","Athemon","","","Athemon","2021","5","n","",""
"6914721","","Atlantis Chronicles","","","Barton's Odyssey","2016","7","n","",""
"14266687","","Atlantis Chronicles","","","Nera","2022","8","n","",""
"14869693","","Atlantis Chronicles","","","Nera (Instrumental Edition)","2022","8","n","",""
"15190983","","Atlases","","","Between the Day &amp; I","2023","7","n","",""
"15554488","","Atomic Elephant","","","Atomic Elephant","2021","7","n","",""
"15554490","","Atomic Elephant","","","Elefunk","2023","8","n","",""
"16009289","","Atomic Elephant","","","Psilocybin","2024","6","n","",""
"14821896","","Atomic Symphony","","","Hybris","2022","6","n","",""
"15726999","","Atræ Bilis","","","Aumicide","2024","5","n","",""
"16141364","","Atra Vetosus","","","Undying Splendour","2024","7","n","",""
"513906","","Atreyu","","","A Death-Grip on Yesterday","2006","7","n","",""
"12762378","","Atreyu","","","Baptize","2021","5","n","",""
"919585","","Atreyu","","","Becoming the Bull","2007","8","n","",""
"2418690","","Atreyu","","","Congregation of the Damned","2009","6","n","",""
"15122204","","Atreyu","","","Drowning","2023","3","n","",""
"919582","","Atreyu","","","Ex's and Oh's","2006","8","n","",""
"1678466","","Atreyu","","","Falling Down","2008","7","n","",""
"919581","","Atreyu","","","Her Portrait in Black","2006","8","n","",""
"9529351","","Atreyu","","","In Our Wake","2018","4","n","",""
"909275","","Atreyu","","","Lead Sails Paper Anchor","2007","7","n","",""
"6425037","","Atreyu","","","Long Live","2015","5","n","",""
"12141483","","Atreyu","","","Save Us","2020","3","n","",""
"2570615","","Atreyu","","","Storm to Pass","2009","8","n","",""
"14755","","Atreyu","","","Suicide Notes and Butterfly Kisses","2002","4","n","",""
"15350018","","Atreyu","","","The Beautiful Dark of Life","2023","6","n","",""
"148425","","Atreyu","","","The Curse","2004","6","n","",""
"16038234","","Atreyu","","","The Pronoia Sessions","2024","2","n","",""
"919583","","Atreyu","","","The Theft","2006","7","n","",""
"12805405","","Atreyu","","","Warrior / Underrated","2021","4","n","",""
"15023098","","Atsuko Chiba","","","Water, It Feels Like It's Growing","2023","7","n","",""
"11761326","","Auðn","","","Vökudraumsins fangi","2020","8","n","",""
"8954381","","Augury","","","Illusive Golden Age","2018","8","n","",""
